================================================================================
|  #  |  SYMBOL  |      TYPE      |                VALUE                | LINE |
| 105 |        ( |        LBraket |                                   ( |   19 |
| 106 |          |     Identifier |                                 aAA |   19 |
| 107 |      ADD |       Addition |                                 ADD |   19 |
| 108 |          |     Identifier |                                 bBB |   19 |
| 109 |        ) |        RBraket |                                   ) |   19 |
| 110 |      DIV |       Division |                                 DIV |   19 |
| 111 |          |         Number |                                  10 |   19 |
| 112 |        ; |      Semicolon |                                   ; |   19 |
| 113 |          |     Identifier |                                 yYY |   20 |
| 114 |       <- |     Assignment |                                  <- |   20 |
| 115 |          |     Identifier |                                 xXX |   20 |
| 116 |      ADD |       Addition |                                 ADD |   20 |
| 117 |        ( |        LBraket |                                   ( |   20 |
| 118 |          |     Identifier |                                 xXX |   20 |
| 119 |      MOD |            Mod |                                 MOD |   20 |
| 120 |          |         Number |                                  10 |   20 |
| 121 |        ) |        RBraket |                                   ) |   20 |
| 122 |        ; |      Semicolon |                                   ; |   20 |
| 123 |    PRINT |          Write |                               PRINT |   21 |
| 124 |        ( |        LBraket |                                   ( |   21 |
| 125 |          |         String | \nX = (A - B) * 10 + (A + B) / 10\n |   21 |
| 126 |        ) |        RBraket |                                   ) |   21 |
| 127 |        ; |      Semicolon |                                   ; |   21 |
| 128 |    PRINT |          Write |                               PRINT |   22 |
| 129 |        ( |        LBraket |                                   ( |   22 |
| 130 |          |     Identifier |                                 xXX |   22 |
| 131 |        ) |        RBraket |                                   ) |   22 |
| 132 |        ; |      Semicolon |                                   ; |   22 |
| 133 |    PRINT |          Write |                               PRINT |   23 |
| 134 |        ( |        LBraket |                                   ( |   23 |
| 135 |          |         String |                \nY = X + (X % 10)\n |   23 |
| 136 |        ) |        RBraket |                                   ) |   23 |
| 137 |        ; |      Semicolon |                                   ; |   23 |
| 138 |    PRINT |          Write |                               PRINT |   24 |
| 139 |        ( |        LBraket |                                   ( |   24 |
| 140 |          |     Identifier |                                 yYY |   24 |
| 141 |        ) |        RBraket |                                   ) |   24 |
| 142 |        ; |      Semicolon |                                   ; |   24 |
| 143 |      END |            End |                                 END |   25 |
| 144 |          |      EndOfFile |                                     |   -1 |
================================================================================
