====================================================================
|  #  |  SYMBOL  |      TYPE      |          VALUE          | LINE |
| 164 |    PRINT |          Write |                   PRINT |   37 |
| 165 |        ( |        LBraket |                       ( |   37 |
| 166 |        " |         Quotes |                       " |   37 |
| 167 |          |         String |  \nREPEAT UNTIL A * B:  |   37 |
| 168 |        " |         Quotes |                       " |   37 |
| 169 |        ) |        RBraket |                       ) |   37 |
| 170 |        ; |      Semicolon |                       ; |   37 |
| 171 |          |     Identifier |                     xXX |   38 |
| 172 |       <- |     Assignment |                      <- |   38 |
| 173 |          |         Number |                       0 |   38 |
| 174 |        ; |      Semicolon |                       ; |   38 |
| 175 |          |     Identifier |                     cC1 |   39 |
| 176 |       <- |     Assignment |                      <- |   39 |
| 177 |          |         Number |                       1 |   39 |
| 178 |        ; |      Semicolon |                       ; |   39 |
| 179 |   REPEAT |         Repeat |                  REPEAT |   40 |
| 180 |          |     Identifier |                     cC2 |   41 |
| 181 |       <- |     Assignment |                      <- |   41 |
| 182 |          |         Number |                       1 |   41 |
| 183 |        ; |      Semicolon |                       ; |   41 |
| 184 |   REPEAT |         Repeat |                  REPEAT |   42 |
| 185 |          |     Identifier |                     xXX |   43 |
| 186 |       <- |     Assignment |                      <- |   43 |
| 187 |          |     Identifier |                     xXX |   43 |
| 188 |      ADD |       Addition |                     ADD |   43 |
| 189 |          |         Number |                       1 |   43 |
| 190 |        ; |      Semicolon |                       ; |   43 |
| 191 |          |     Identifier |                     cC2 |   44 |
| 192 |       <- |     Assignment |                      <- |   44 |
| 193 |          |     Identifier |                     cC2 |   44 |
| 194 |      ADD |       Addition |                     ADD |   44 |
| 195 |          |         Number |                       1 |   44 |
| 196 |        ; |      Semicolon |                       ; |   44 |
| 197 |    UNTIL |          Until |                   UNTIL |   45 |
| 198 |        ( |        LBraket |                       ( |   45 |
| 199 |      NOT |            Not |                     NOT |   45 |
| 200 |        ( |        LBraket |                       ( |   45 |
| 201 |          |     Identifier |                     cC2 |   45 |
| 202 |        > |         Greate |                       > |   45 |
| 203 |          |     Identifier |                     bBB |   45 |
| 204 |        ) |        RBraket |                       ) |   45 |
| 205 |        ) |        RBraket |                       ) |   45 |
| 206 |          |     Identifier |                     cC1 |   46 |
| 207 |       <- |     Assignment |                      <- |   46 |
| 208 |          |     Identifier |                     cC1 |   46 |
| 209 |      ADD |       Addition |                     ADD |   46 |
| 210 |          |         Number |                       1 |   46 |
| 211 |        ; |      Semicolon |                       ; |   46 |
| 212 |    UNTIL |          Until |                   UNTIL |   47 |
| 213 |        ( |        LBraket |                       ( |   47 |
| 214 |      NOT |            Not |                     NOT |   47 |
| 215 |        ( |        LBraket |                       ( |   47 |
| 216 |          |     Identifier |                     cC1 |   47 |
| 217 |        > |         Greate |                       > |   47 |
| 218 |          |     Identifier |                     aAA |   47 |
| 219 |        ) |        RBraket |                       ) |   47 |
| 220 |        ) |        RBraket |                       ) |   47 |
| 221 |    PRINT |          Write |                   PRINT |   48 |
| 222 |        ( |        LBraket |                       ( |   48 |
| 223 |          |     Identifier |                     xXX |   48 |
| 224 |        ) |        RBraket |                       ) |   48 |
| 225 |        ; |      Semicolon |                       ; |   48 |
| 226 |      END |            End |                     END |   50 |
| 227 |          |      EndOfFile |                         |   -1 |
====================================================================
